[2026-06-10 18:04:30] [INFO    ] discord.client: logging in using static token
[2026-06-10 18:04:30] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-06-10 18:04:30] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-06-10 18:04:30] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1514369908085887037', 'username': 'Top Chatter', 'avatar': '05cccc4aa09abe64e14aa23f2e0ab37c', 'discriminator': '8584', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'fb2884029df046b367204755d66f4566', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-06-10 18:04:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-06-10 18:04:31] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-06-10 18:04:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1514369908085887037', 'name': 'Top Chatter', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1514369908085887037', 'username': 'Top Chatter', 'avatar': '05cccc4aa09abe64e14aa23f2e0ab37c', 'discriminator': '8584', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'fb2884029df046b367204755d66f4566', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'eaa6c4f4e90abcb310a0929e85b138fbb1570601958cf7447a900698f4d6267a', 'flags': 557056, 'flags_new': '557056', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '763070554172817428', 'username': 'muhamm38_', 'avatar': '1c35bca56353a68c1c05d5cfa13871f7', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 5207459, 'global_name': 'dirk', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#4f75a3', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-06-10 18:04:31] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-06-10 18:04:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-h2r7",{"micros":0.0}]']}}
[2026-06-10 18:04:31] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-06-10 18:04:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
